ID_Agente,ID_Caso,Agente,Atributo,Género,Calidad,Labor,Relación_crímenes,Conteo_mínimo,Tipo_Institución,Doble_Atributo,RCDA,Proceso,
IDA7456,3442,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3442A,,null,,,,
IDA7457,3442,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3442A,,null,,,,
IDA7458,3443,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3443A,,null,,,,
IDA7459,3443,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3443A,,null,,,,
IDA7460,3444,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3444A,,null,,,,
IDA7461,3444,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3444A,,null,,,,
IDA7462,3444,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3444A,,null,,,,
IDA7463,3445,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3445A,,null,,,,
IDA7464,3446,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3446A, 3446B",,null,,,,
IDA7465,3446,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3446A,,null,,,,
IDA7466,3446,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3446A,1,null,,,,
IDA7467,3446,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3446B,,null,,,,
IDA7468,3447,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3447A,,null,,,,
IDA7469,3447,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3447A,,null,,,,
IDA7470,3448,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3448A, 3448B, 3448C",,null,,,,
IDA7471,3448,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3448A,,null,,,,
IDA7472,3448,Institución,Víctima,null,null,null,3448C,,La autoridad,,,,
IDA7473,3450,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3450A,,null,,,,
IDA7474,3450,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3450A,,null,,,,
IDA7475,3451,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3451A,,null,,,,
IDA7476,3451,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3451A,,null,,,,
IDA7477,3452,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3452A,,null,,,,
IDA7478,3452,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3452A,1,null,,,,
IDA7479,3452,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3452A,1,null,,,,
IDA7480,3453,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3453A,,null,,,,
IDA7481,3453,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3453A,1,null,,,,
IDA7482,3454,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3454A, 3454B, 3454C",,null,,,,
IDA7483,3454,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3454A, 3454B",,null,,,,
IDA7484,3454,Persona,Cómplice,Hombre,Sin especificar,Sin especificar,"3454A, 3454B",,null,,,,
IDA7485,3454,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3454A,,null,,,,
IDA7486,3454,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3454C,,null,,,,
IDA7487,3457,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3457A,,null,,,,
IDA7488,3459,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,"3459A, 3459B",,null,,1,,
IDA7489,3459,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3459B,,null,,1,,
IDA7490,3460,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,3460A,,null,,,,
IDA7491,3460,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,3460A,,null,,,,
IDA7492,3460,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,3460A,,null,,,,
IDA7493,3460,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,3460A,,null,,,,
IDA7494,3461,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3461A,,null,,,,
IDA7495,3461,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3461A,,null,,,,
IDA7496,3462,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3462A, 3462B",,null,,,,
IDA7497,3462,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3462A,1,null,,,,
IDA7498,3463,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3463A,,null,,,,
IDA7499,3463,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3463A,1,null,,,,
IDA7500,3464,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3464A,,null,,,,
IDA7501,3464,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3464A,1,null,,,,
IDA7502,3465,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3465A, 3465B",,null,,,,
IDA7503,3465,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3465B,,null,,,,
IDA7504,3467,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3467A, 3467B",,null,,,,
IDA7505,3467,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,"3467A, 3467B",,null,,,,
IDA7506,3467,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3467B,1,null,,,,
IDA7507,3468,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3468A,,null,,,,
IDA7508,3468,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3468A,1,null,,,,
IDA7509,3469,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3469A, 3469B, 3469D, 3469E",1,null,,,,
IDA7510,3469,Persona,Víctima,Mujer,Sin especificar,Sin especificar,"3469A, 3469B",1,null,,,,
