ID_Caso,ID_Documento,Archivo,Código_Referencia,Sección,Fondo,Legajo,Documento,Folios,Número_Folios,Source
2651,2651A,AGN,SC.19,Colonia,Criminales (Juicios),123,25,596-727,4-30,AGNSC.1912325596-7272651A
2652,2652A,AGN,SC.19,Colonia,Criminales (Juicios),123,26,728-735,4-30,AGNSC.1912326728-7352652A
2652,2652B,AGN,SC.19,Colonia,Criminales (Juicios),123,26,728-735,4-30,AGNSC.1912326728-7352652B
2652,2652C,AGN,SC.19,Colonia,Criminales (Juicios),123,26,728-735,4-30,AGNSC.1912326728-7352652C
2653,2653A,AGN,SC.19,Colonia,Criminales (Juicios),123,27,736-739,4-30,AGNSC.1912327736-7392653A
2653,2653B,AGN,SC.19,Colonia,Criminales (Juicios),123,27,736-739,4-30,AGNSC.1912327736-7392653B
2654,2654A,AGN,SC.19,Colonia,Criminales (Juicios),123,28,740-975,30+,AGNSC.1912328740-9752654A
2654,2654B,AGN,SC.19,Colonia,Criminales (Juicios),123,28,740-975,30+,AGNSC.1912328740-9752654B
2654,2654C,AGN,SC.19,Colonia,Criminales (Juicios),123,28,740-975,30+,AGNSC.1912328740-9752654C
2655,2655A,AGN,SC.19,Colonia,Criminales (Juicios),123,29,976-993,4-30,AGNSC.1912329976-9932655A
2656,2656A,AGN,SC.19,Colonia,Criminales (Juicios),123,30,994-1000,4-30,AGNSC.1912330994-10002656A
2657,2657A,AGN,SC.19,Colonia,Criminales (Juicios),124,1,1-234,30+,AGNSC.1912411-2342657A
2658,2658A,AGN,SC.19,Colonia,Criminales (Juicios),124,2,235-288,30+,AGNSC.191242235-2882658A
2659,2659A,AGN,SC.19,Colonia,Criminales (Juicios),124,3,289-303,4-30,AGNSC.191243289-3032659A
2659,2659B,AGN,SC.19,Colonia,Criminales (Juicios),124,3,289-303,4-30,AGNSC.191243289-3032659B
2659,2659C,AGN,SC.19,Colonia,Criminales (Juicios),124,3,289-303,4-30,AGNSC.191243289-3032659C
2660,2660A,AGN,SC.19,Colonia,Criminales (Juicios),124,4,304-317,4-30,AGNSC.191244304-3172660A
2661,2661A,AGN,SC.19,Colonia,Criminales (Juicios),124,5,318,1-3,AGNSC.1912453182661A
2661,2661B,AGN,SC.19,Colonia,Criminales (Juicios),124,5,318,1-3,AGNSC.1912453182661B
2662,2662A,AGN,SC.19,Colonia,Criminales (Juicios),124,8,325-335,4-30,AGNSC.191248325-3352662A
2662,2662B,AGN,SC.19,Colonia,Criminales (Juicios),124,8,325-335,4-30,AGNSC.191248325-3352662B
2663,2663A,AGN,SC.19,Colonia,Criminales (Juicios),124,10,383-454,30+,AGNSC.1912410383-4542663A
2664,2664A,AGN,SC.19,Colonia,Criminales (Juicios),124,11,455-470,4-30,AGNSC.1912411455-4702664A
2665,2665A,AGN,SC.19,Colonia,Criminales (Juicios),124,12,471-472,1-3,AGNSC.1912412471-4722665A
2666,2666A,AGN,SC.19,Colonia,Criminales (Juicios),124,14,496-520,30+,AGNSC.1912414496-5202666A
2666,2666B,AGN,SC.19,Colonia,Criminales (Juicios),113,14,509-510,30+,AGNSC.1911314509-5102666B
2667,2667A,AGN,SC.19,Colonia,Criminales (Juicios),124,15,521-622,30+,AGNSC.1912415521-6222667A
2667,2667B,AGN,SC.19,Colonia,Criminales (Juicios),218,11,923-938,30+,AGNSC.1921811923-9382667B
2668,2668A,AGN,SC.19,Colonia,Criminales (Juicios),124,16,623-636,4-30,AGNSC.1912416623-6362668A
2669,2669A,AGN,SC.19,Colonia,Criminales (Juicios),124,17,637-675,30+,AGNSC.1912417637-6752669A
2670,2670A,AGN,SC.19,Colonia,Criminales (Juicios),124,18,676-685,4-30,AGNSC.1912418676-6852670A
2671,2671A,AGN,SC.19,Colonia,Criminales (Juicios),124,19,686-741,30+,AGNSC.1912419686-7412671A
2672,2672A,AGN,SC.19,Colonia,Criminales (Juicios),124,20,742-750,4-30,AGNSC.1912420742-7502672A
2673,2673A,AGN,SC.19,Colonia,Criminales (Juicios),124,21,751-778,4-30,AGNSC.1912421751-7782673A
