ID_Lugar,Lugar,Latitud,Longitud,Clasificación,País_Contemporáneo,Notas
LID77,Chía,4.861371,-74.060492,Municipio,Colombia,null
LID78,Chicatá,5.55754488669251,-73.28300265199537,Sitio espesifíco,Colombia,null
LID79,Chima,6.344313,-73.372608,Municipio,Colombia,null
LID80,Chinú,9.104577,-75.399191,Municipio,Colombia,null
LID81,Chipaque,4.442328,-74.044915,Municipio,Colombia,null
LID82,Chipatá,6.062592,-73.637315,Municipio,Colombia,null
LID83,Chipazaque,4.790429784277016,-73.66341905221677,Cambio histórico,Colombia,Hoy Junin
LID84,Chiquinquirá,5.618181,-73.816843,Municipio,Colombia,null
LID85,Chire,6.034202069422262,-71.8114096690995,Municipio,Colombia,null
LID87,Chiriguaná,9.362046,-73.601713,Municipio,Colombia,null
LID88,Chiriquí,8.396730360634558,-82.32159123674796,Departamento/Provincia,Panamá,null
LID89,Chiriví,5.354865049996189,-73.45730098372425,Cambio histórico,Colombia,Hoy Nuevo Colón
LID90,Chiscas,6.552538,-72.499841,Municipio,Colombia,null
LID91,Chita,6.187050,-72.472970,Municipio,Colombia,null
LID92,Chitaraque,6.027851,-73.446938,Municipio,Colombia,null
LID93,Chivatá,5.557342,-73.283078,Municipio,Colombia,null
LID94,Choachí,4.528914,-73.923137,Municipio,Colombia,null
LID95,Chocó,5.963720930852098,-77.00650785362099,Departamento/Provincia,Colombia,null
LID96,Chocontá,5.144948,-73.685196,Municipio,Colombia,null
LID97,Ciénega,5.409671,-73.296488,Municipio,Colombia,null
LID98,Cincelada,6.239367933797362,-73.07828955198806,Sitio espesifíco,Colombia,null
LID99,Citará,5.695632968422672,-76.65134401980968,Municipio,Colombia,null
LID100,Cocorná,6.057572,-75.185298,Municipio,Colombia,null
LID101,Cocuy,6.407814,-72.445614,Municipio,Colombia,null
LID102,Coello,4.288090,-74.898216,Municipio,Colombia,null
LID103,Cogua,5.060052,-73.978695,Municipio,Colombia,null
LID104,Combeima,4.33510833757888,-75.16226396529515,Sitio espesifíco,Colombia,Río en Ibagué
LID105,Cómbita,5.633652,-73.324306,Municipio,Colombia,null
LID106,Comeza,5.98385,72.6288,Sitio espesifíco,Colombia,Hoy Vereda
LID107,Confines,6.356085,-73.241076,Municipio,Colombia,null
LID108,Copacabana,6.346126,-75.508112,Municipio,Colombia,null
LID109,Corcobado,5.31798,76.478,Sitio espesifíco,Colombia,Hoy Aldea en el chocó
LID110,Corozal,9.315681566224907,-75.29273176474771,Municipio,Colombia,null
LID111,Cosaquetiva,6.040432736508793,-72.63662138140407,Cambio histórico,Colombia,Hoy veredas en Socota
LID112,Coyaima,3.799438,-75.194572,Municipio,Colombia,null
LID113,Cravo,5.538880705318712,-72.5365144786929,Sitio espesifíco,Colombia,Río en Casanare
LID114,Cucaita,5.544327,-73.454099,Municipio,Colombia,null
LID115,Cucunubá,5.249955,-73.766725,Municipio,Colombia,null
LID116,Cúcuta,7.886092,-72.504308,Municipio,Colombia,null
LID117,Cucutilla,7.539660,-72.772756,Municipio,Colombia,null
LID118,Cuenca,-2.897241,-79.004425,Municipio,Ecuador,null
LID119,Cuiloto,6.580694195805499,-71.2501282816752,Sitio espesifíco,Colombia,Rio en Arauca
LID120,Cuítiva,5.580933,-72.966107,Municipio,Colombia,null
LID121,Cumaná,10.463751,-64.173369,Municipio,Venezuela,null
LID122,Cumaral,4.271281,-73.487620,Municipio,Colombia,null
LID123,Cunday,4.060744,-74.691914,Municipio,Colombia,null
LID124,Curití,6.606635,-73.069147,Municipio,Colombia,null
LID125,Dolores,3.6711007341208277,-74.7495211288221,Municipio,Colombia,null
LID126,Duitama,5.827774,-73.033865,Municipio,Colombia,null
LID127,Ecuador ,-1.3556871505241188,-79.16012901762481,País,Ecuador,null
LID128,El Banco,8.995793,-73.971370,Municipio,Colombia,null
LID129,El Colegio,4.584105,-74.445966,Municipio,Colombia,null
LID130,El Espinal,4.150362,-74.884634,Municipio,Colombia,null
LID131,El Guamo,4.031672,-74.970842,Municipio,Colombia,null
LID132,El Morro,5.452854715472858,-72.45615757697372,Sitio espesifíco,Colombia,Fuerte
LID133,El Pardo,40.51912563502067,-3.7758728054264012,Sitio espesifíco,España,null
LID134,El Socorro,6.470068,-73.261512,Municipio,Colombia,null
LID135,Enciso,6.668093,-72.699494,Municipio,Colombia,null
LID136,Engativá,4.7024575565530435,-74.10776034695424,Sitio espesifíco,Colombia,Hoy localidad en Bogotá
LID137,Envigado,6.169996,-75.587414,Municipio,Colombia,null
LID138,España ,39.33200077392213,-2.790316972941107,País,España,null
LID139,Espinal,4.150307,-74.884668,Municipio,Colombia,null
LID140,Facatativá,4.809725,-74.354095,Municipio,Colombia,null
LID141,Firavitoba,5.668915,-72.992258,Municipio,Colombia,null
LID142,Floridablanca,7.071968,-73.107094,Municipio,Colombia,null
LID143,Fómeque,4.486346,-73.895042,Municipio,Colombia,null
LID144,Fontibón,4.681564685155829,-74.144918705937,Sitio espesifíco,Colombia,Hoy localidad en Bogotá
LID145,Fosca,4.338904,-73.938412,Municipio,Colombia,null
LID146,Fúquene,5.404523,-73.796107,Municipio,Colombia,null
LID147,Fusagasugá,4.343765,-74.361954,Municipio,Colombia,null
LID148,Gachantivá,5.752065,-73.549299,Municipio,Colombia,null
LID149,Gachetá,4.817378,-73.635940,Municipio,Colombia,null
LID150,Gámbita,5.945853,-73.345346,Municipio,Colombia,null
LID151,Gámeza,5.802040,-72.804990,Municipio,Colombia,null
LID152,Garagoa,5.082004,-73.363808,Municipio,Colombia,null
LID153,Garnica,null,null,Ilocalizable,Ilocalizable,Se referencia una escuela de este nombre. 
