"ID_Caso","ID_Documento","Descripción","Código","Sub_Código","Año","Lugar","Especificaciones","Source","crimen","subcrimen"
"1225","1225B","Notas al Virrey, de Francisco Vallejo, Gobernador de Girón, sobre los pasquines que le pusieron y actuaciones judiciales contra los presuntos autores de ellos.","28","28.4","1805","Girón","Códigos señalados","AGNSC.19619804-8121225B","Tipo de documento diferente a sumario ","Notas"
"1226","1226A","Demanda de Juan Telésforo García y Salgar contra José Bretón y Ordoñez, por versos satíricos e injuriosos que le compuso.","16","16.1","1807","Bucaramanga","Decisión metodológica","AGNSC.196110813-8881226A","Injuria","Injuria"
"1227","1227A","Demanda de Marcelo Pérez de Páramo contra José de Medina, su cuñado, por agresiones de obra que éste le infirió, con motivo de la propiedad de una esclava.","4","4.1","1769","Guaduas","Decisión metodológica","AGNSC.196111889-9211227A","Violencia","Heridas"
"1227","1227B","Memorial del abogado de Marcelo Pérez, en la demanda de éste contra José Rafael de Medina, por haberlo asaltado quitandole unas escrituras.","20","20.1","1771","Mariquita","Decisión metodológica","AGNSC.1911217829-8311227B","Robo","Robo"
"1227","1227C","Memorial del abogado de Marcelo Pérez, en la demanda de éste contra José Rafael de Medina, por haberlo asaltado quitandole unas escrituras.","28","28.7","1771","Mariquita","Códigos señalados","AGNSC.1911219836-8521227C","Tipo de documento diferente a sumario ","Memorial"
"1228","1228A","Proceso de Isidro Camelo, matador de Custodio de Herrera.","1","1.1","1776","Chocontá","Decisión metodológica","AGNSC.196112922-9791228A","Homicidio","Homicidio"
"1229","1229A","Demanda de Francisco de la Cruz, por injurias, contra Tomás de Arce.","16","16.1","1767","Santafé (Bogotá)","Decisión metodológica","AGNSC.196113980-9841229A","Injuria","Injuria"
"122","122A","Demanda de María Gracias contra José de Gracia y su familia, por ultrajes de obra y de palabra","4","4.1","1740","Cajicá","Perfectos","AGNSC.19527999-1000122A","Violencia","Heridas"
"122","122B","Demanda de María Gracias contra José de Gracia y su familia, por ultrajes de obra y de palabra","16","16.1","1740","Cajicá","Perfectos","AGNSC.19527999-1000122B","Injuria","Injuria"
"1230","1230A","Proceso de Pablo Mayorga, quien dio muerte a Pedro Antonio Plata, alcalde del Socorro.","1","1.1","1765","El Socorro","Decisión metodológica","AGNSC.196211-1981230A","Homicidio","Homicidio"
"1231","1231A","Causa seguida a Juan Esteban de Hostos, por crueles tratamientos dados a sus esclavos, homicidios de éstos, actos de sodomía y otros delitos. Denunciantes, Juan Agustín y Manuel Ramírez de Soto. ","4","4.1","1777","Salazar de las Palmas","Contrademanda","AGNSC.19622199-4431231A","Violencia","Heridas"
"1231","1231B","Causa seguida a Juan Esteban de Hostos, por crueles tratamientos dados a sus esclavos, homicidios de éstos, actos de sodomía y otros delitos. Denunciantes, Juan Agustín y Manuel Ramírez de Soto. ","1","1.1","1777","Salazar de las Palmas","Contrademanda","AGNSC.19622199-4431231B","Homicidio","Homicidio"
"1231","1231C","Causa seguida a Juan Esteban de Hostos, por crueles tratamientos dados a sus esclavos, homicidios de éstos, actos de sodomía y otros delitos. Denunciantes, Juan Agustín y Manuel Ramírez de Soto.","13","13.3","1777","Salazar de las Palmas","Contrademanda","AGNSC.19622199-4431231C","Bestialidad","Sodomía"
"1231","1231D","Real revisión de absolución para Juan Esteban de Hostos, acusado por Juan Agustín y Fermín Manuel Ramírez, de sevicia con sus esclavos, homicidio y otros delitos","33",,"1784","null","Ambiguos","AGNSC.19173335-3551231D","Ambiguos","Delitos"
