ID_Caso,ID_Crímen,Descripción
92,92A,"Sumario instruido por José Clemente Calderón, Alcalde de Guepsa, a Joaquín Melo, por el **homicidio **de Casimiro Rodríguez"
93,93A,"Querella de Francisca Sotomayor contra José Vicente Gaitán, **por la propiedad de unas tierras** en Subachoque"
94,94A,"Proceso de Francisco García, quien** dio muerte** a Santiago Bello, en Zipaquirá"
95,95A,"Juicio seguido a Felipe Alvarez, por haberse traido de Mérida, una **amante**"
96,96A,"Sumario remitido por los jueces de San Martín, instruído a José Antonio Romero, por **varios delitos**."
97,97A,"Demanda de José Hernández contra Diego y Micaela Clavijo, **por unos semovientes**."
98,98A,"Demanda de Francisco Pérez contra Gregorio Ordoñez, por haber recibido el primero **injurias **de María Ortíz, esposa del último"
99,99A,"Causa seguida a Diego de Aguilar y Francisco de León, por **hurto **en huerta de Ignacio de Escucha y recibir éste heridas de un negro."
99,99B,"Causa seguida a Diego de Aguilar y Francisco de León, por hurto en huerta de Ignacio de Escucha y recibir éste **heridas **de un negro."
100,100A,"Demanda de Andrés Pardo, Gobernador de Guachetá, de la encomienda de Isabel de Leguizamón, contra Juan de Vargas, quien **tenía a su servicio, contra la voluntad** de Pardo, a Luisa mujer de éste."
101,101A,Causa seguida a Sebastián García y cómplices por el **homicidio **de Sebastián de Frías
102,102A,Causa seguida a Juan de Osés por **comprar y fundir plata labrada**
103,103A,"Causa seguida a Santos Heredia, como **salteador **en los caminos de Pacho."
104,104A,"Acusación de José Estévez, Alguacil de Zipaquirá, contra Manuel Rubiano, quien **no le dió al primero el título de ""Don""**"
105,105A,"Sumario de Juan Bautista Rosas, por **heridas **inferidas en el puente de ""San Juanito"", a Bartolomé Melo. Fueron aprehendidos también José Manuel Saavedra, Isidro Melo y María Josefa Castellanos"
106,106A,"Sumario instruído contra Pedro de Lugo, por la **violación **de Petrona Riveros, hija de Simón de Riveros, vecinos de Tunja"
106,106B,Continuación de lo anotado en el documento 9 (folios 328-336)
107,107A,**Memorial sobre servicio de indios** de José de Salavarrieta para su hacienda en Serrezuela
108,108A,"Acusación de Domingo Lombana contra Miguel Rivas, Alcalde, quien **le tildó al primero el Titulo de ""Don""**"
